iter	Passed	Remaining
0	0	271
1	1	304
2	1	309
3	2	320
4	3	326
5	3	321
6	4	317
7	5	313
8	5	310
9	6	307
10	6	305
11	7	303
12	8	304
13	8	303
14	9	302
15	9	300
16	10	299
17	11	298
18	11	296
19	12	296
20	12	295
21	13	294
22	14	292
23	14	291
24	15	289
25	15	288
26	16	287
27	16	286
28	17	285
29	18	284
30	18	283
31	19	282
32	19	282
33	20	281
34	21	280
35	21	279
36	22	280
37	23	280
38	23	280
39	24	279
40	24	278
41	25	277
42	26	276
43	26	276
44	27	275
45	27	274
46	28	273
47	29	273
48	29	272
49	30	271
50	30	270
51	31	270
52	32	270
53	32	269
54	33	268
55	33	268
56	34	267
57	35	267
58	35	266
59	36	265
60	36	265
61	37	264
62	38	263
63	38	263
64	39	262
65	39	261
66	40	261
67	41	261
68	41	261
69	42	260
70	43	260
71	43	259
72	44	258
73	44	258
74	45	257
75	46	256
76	46	256
77	47	255
78	47	254
79	48	254
80	48	253
81	49	252
82	50	252
83	50	251
84	51	250
85	51	249
86	52	248
87	53	248
88	53	248
89	54	247
90	54	246
91	55	246
92	56	245
93	56	244
94	57	244
95	57	243
96	58	243
97	59	242
98	59	241
99	60	241
100	61	241
101	61	240
102	62	239
103	62	239
104	63	238
105	64	238
106	64	237
107	65	236
108	65	235
109	66	235
110	66	234
111	67	234
112	68	233
113	68	232
114	69	232
115	69	231
116	70	231
117	71	230
118	71	229
119	72	229
120	72	228
121	73	227
122	74	227
123	74	226
124	75	226
125	75	225
126	76	224
127	77	224
128	77	223
129	78	223
130	79	222
131	79	222
132	80	221
133	80	221
134	81	220
135	82	220
136	82	219
137	83	219
138	84	218
139	84	217
140	85	217
141	85	216
142	86	216
143	87	215
144	87	214
145	88	214
146	88	213
147	89	212
148	90	212
149	90	211
150	91	211
151	92	210
152	92	210
153	93	209
154	93	209
155	94	208
156	95	207
157	95	207
158	96	206
159	97	206
160	97	205
161	98	205
162	98	204
163	99	204
164	100	203
165	100	202
166	101	202
167	102	201
168	102	201
169	103	200
170	103	199
171	104	199
172	105	198
173	105	197
174	106	197
175	106	196
176	107	195
177	107	195
178	108	194
179	109	194
180	109	193
181	110	192
182	110	192
183	111	191
184	112	190
185	112	190
186	113	189
187	113	189
188	114	188
189	115	187
190	115	187
191	116	186
192	116	185
193	117	185
194	118	184
195	118	184
196	119	183
197	120	183
198	120	182
199	121	181
200	121	181
201	122	180
202	122	179
203	123	179
204	124	178
205	124	178
206	125	177
207	125	176
208	126	176
209	127	175
210	127	175
211	128	174
212	128	173
213	129	173
214	130	172
215	130	171
216	131	171
217	132	170
218	132	170
219	133	169
220	134	169
221	134	168
222	135	168
223	136	167
224	136	167
225	137	166
226	137	165
227	138	165
228	139	164
229	139	164
230	140	163
231	141	162
232	141	162
233	142	161
234	142	161
235	143	160
236	144	159
237	144	159
238	145	158
239	145	158
240	146	157
241	147	156
242	147	156
243	148	155
244	148	155
245	149	154
246	150	153
247	150	153
248	151	152
249	151	151
250	152	151
251	153	150
252	153	150
253	154	149
254	155	148
255	155	148
256	156	147
257	156	147
258	157	146
259	158	146
260	159	145
261	159	145
262	160	144
263	160	143
264	161	143
265	162	142
266	162	142
267	163	141
268	164	140
269	164	140
270	165	139
271	166	139
272	166	138
273	167	138
274	168	137
275	168	136
276	169	136
277	169	135
278	170	135
279	171	134
280	171	134
281	172	133
282	173	132
283	174	132
284	174	131
285	175	131
286	175	130
287	176	129
288	177	129
289	178	128
290	178	128
291	179	127
292	179	127
293	180	126
294	181	125
295	181	125
296	182	124
297	183	124
298	183	123
299	184	122
300	185	122
301	185	121
302	186	121
303	186	120
304	187	119
305	188	119
306	188	118
307	189	117
308	189	117
309	190	116
310	191	116
311	191	115
312	192	114
313	192	114
314	193	113
315	194	113
316	194	112
317	195	111
318	196	111
319	196	110
320	197	110
321	197	109
322	198	108
323	199	108
324	199	107
325	200	107
326	201	106
327	201	105
328	202	105
329	203	104
330	203	104
331	204	103
332	205	102
333	205	102
334	206	101
335	206	101
336	207	100
337	208	99
338	208	99
339	209	98
340	209	97
341	210	97
342	211	96
343	211	96
344	212	95
345	212	94
346	213	94
347	214	93
348	214	92
349	215	92
350	216	91
351	216	91
352	217	90
353	217	89
354	218	89
355	219	88
356	220	88
357	220	87
358	221	86
359	221	86
360	222	85
361	223	85
362	223	84
363	224	83
364	225	83
365	225	82
366	226	82
367	227	81
368	227	80
369	228	80
370	228	79
371	229	78
372	230	78
373	230	77
374	231	77
375	232	76
376	232	75
377	233	75
378	234	74
379	234	74
380	235	73
381	236	72
382	236	72
383	237	71
384	237	71
385	238	70
386	239	69
387	239	69
388	240	68
389	240	67
390	241	67
391	242	66
392	242	66
393	243	65
394	243	64
395	244	64
396	245	63
397	245	62
398	246	62
399	246	61
400	247	61
401	248	60
402	248	59
403	249	59
404	249	58
405	250	58
406	251	57
407	251	56
408	252	56
409	252	55
410	253	54
411	254	54
412	254	53
413	255	53
414	256	52
415	256	51
416	257	51
417	257	50
418	258	49
419	259	49
420	259	48
421	260	48
422	260	47
423	261	46
424	262	46
425	262	45
426	263	45
427	264	44
428	264	43
429	265	43
430	265	42
431	266	41
432	267	41
433	267	40
434	268	40
435	268	39
436	269	38
437	270	38
438	270	37
439	271	36
440	271	36
441	272	35
442	273	35
443	273	34
444	274	33
445	274	33
446	275	32
447	276	32
448	276	31
449	277	30
450	277	30
451	278	29
452	279	28
453	279	28
454	280	27
455	281	27
456	281	26
457	282	25
458	282	25
459	283	24
460	284	24
461	284	23
462	285	22
463	285	22
464	286	21
465	287	20
466	287	20
467	288	19
468	289	19
469	289	18
470	290	17
471	290	17
472	291	16
473	292	16
474	292	15
475	293	14
476	294	14
477	294	13
478	295	12
479	296	12
480	296	11
481	297	11
482	297	10
483	298	9
484	299	9
485	299	8
486	300	8
487	300	7
488	301	6
489	302	6
490	302	5
491	303	4
492	303	4
493	304	3
494	305	3
495	305	2
496	306	1
497	307	1
498	307	0
499	308	0
