Variable,Anthrax,Brucellosis,Rabies
Disease,100.0,100.0,100.0
_id,100.0,100.0,100.0
_media_all_received,100.0,100.0,100.0
_media_count,100.0,100.0,100.0
_submission_time,100.0,100.0,100.0
_submitted_by,100.0,100.0,100.0
_total_media,100.0,100.0,100.0
_uuid,100.0,100.0,100.0
_version,100.0,100.0,100.0
_xform_id,100.0,100.0,100.0
address_of_contact_person/date_of_the_report,100.0,100.0,100.0
address_of_contact_person/email_address_of_contact,100.0,100.0,100.0
address_of_contact_person/name_of_implementing_partner,100.0,100.0,100.0
address_of_contact_person/position,100.0,100.0,100.0
address_of_contact_person/reported_by,100.0,100.0,100.0
address_of_contact_person/telephone_number_of_contact,100.0,100.0,100.0
area_name/kebele,100.0,100.0,100.0
area_name/region,100.0,100.0,100.0
area_name/type_of_suspect_case,100.0,100.0,100.0
meta/instanceID,100.0,100.0,100.0
status_of_the_case/means_of_identification_of_the_case,100.0,100.0,100.0
status_of_the_case/means_of_notification,100.0,100.0,100.0
status_of_the_case/the_case_identified_by_community_volunter_health_development_army,100.0,100.0,100.0
type_of_suspect_case_animal/dose_the_animal_has_owner,100.0,100.0,100.0
type_of_suspect_case_animal/indicate_the_illness_of_this_surveillance_report_animal,100.0,100.0,100.0
type_of_suspect_case_animal/treatment_immunization_status_of_the_case,100.0,100.0,100.0
type_of_suspect_case_animal/type_of_sick_or_died_animal,100.0,100.0,100.0
area_name/_gps_altitude,100.0,99.4,100.0
area_name/_gps_latitude,100.0,99.4,100.0
area_name/_gps_longitude,100.0,99.4,100.0
area_name/_gps_precision,100.0,99.4,100.0
area_name/gps,100.0,99.4,100.0
area_name/village,99.1,100.0,100.0
status_of_the_case/name_of_health_facility_case_registered_at,100.0,97.6,95.6
