Disease,Variable,N,Non_missing,Completeness_%
Rabies,area_name/region,159,159,100.0
Rabies,area_name/zone_somali,159,43,27.0
Rabies,area_name/zone_oromia,159,29,18.2
Rabies,area_name/zone_gambella,159,33,20.8
Rabies,area_name/zone_benshangul,159,33,20.8
Rabies,area_name/zone_snnp,159,21,13.2
Rabies,area_name/woreda_somali_Afder,159,0,0.0
Rabies,area_name/woreda_somali_Liben,159,2,1.3
Rabies,area_name/woreda_somali_Shebele,159,4,2.5
Rabies,area_name/woreda_somali_Siti,159,8,5.0
Rabies,area_name/woreda_somali_Dollo,159,2,1.3
Rabies,area_name/woreda_somali_Dawa,159,27,17.0
Rabies,area_name/woreda_oromia_Borena,159,29,18.2
Rabies,area_name/woreda_oromia_Kellem,159,0,0.0
Rabies,area_name/woreda_gambella_Agnua,159,6,3.8
Rabies,area_name/woreda_gambella_Nuer,159,3,1.9
Rabies,area_name/woreda_gambella_Majang,159,24,15.1
Rabies,area_name/woreda_benshangul_Assosa,159,23,14.5
Rabies,area_name/woreda_benshangul_Metekel,159,9,5.7
Rabies,area_name/woreda_benshangul_Kamashi,159,1,0.6
Rabies,area_name/woreda_snnp_Bench_Maji,159,15,9.4
Rabies,area_name/woreda_snnp_South_omo,159,6,3.8
Rabies,area_name/kebele,159,159,100.0
Rabies,area_name/village,159,159,100.0
Rabies,area_name/gps,159,159,100.0
Rabies,area_name/_gps_latitude,159,159,100.0
Rabies,area_name/_gps_longitude,159,159,100.0
Rabies,area_name/_gps_altitude,159,159,100.0
Rabies,area_name/_gps_precision,159,159,100.0
Rabies,area_name/type_of_suspect_case,159,159,100.0
Rabies,type_of_suspect_case_human/indicate_the_illness_of_this_surveillance_report,159,0,0.0
Rabies,type_of_suspect_case_human/indicate_the_illness_of_this_surveillance_report_other,159,0,0.0
Rabies,type_of_suspect_case_human/name_of_suspect_case,159,0,0.0
Rabies,type_of_suspect_case_human/sex_of_the_suspect,159,0,0.0
Rabies,type_of_suspect_case_human/age_of_suspect,159,0,0.0
Rabies,type_of_suspect_case_human/image,159,0,0.0
Rabies,type_of_suspect_case_human/afp_case/date_first_appearance_at_health_facility,159,0,0.0
Rabies,type_of_suspect_case_human/afp_case/date_of_onset_of_illness,159,0,0.0
Rabies,type_of_suspect_case_human/afp_case/date_notified_to_supervisor_or_woreda_health_office,159,0,0.0
Rabies,type_of_suspect_case_human/afp_case/date_of_investigation,159,0,0.0
Rabies,type_of_suspect_case_human/afp_case/dates_of_first_stool_specimen_collection,159,0,0.0
Rabies,type_of_suspect_case_human/afp_case/dates_of_second_stool_specimen_collection,159,0,0.0
Rabies,type_of_suspect_case_human/afp_case/date_sample_sent_to_national_laboratory,159,0,0.0
Rabies,type_of_suspect_case_human/afp_case/polio_immunization_status_of_the_case,159,0,0.0
Rabies,type_of_suspect_case_human/afp_case/how_many_doses,159,0,0.0
Rabies,type_of_suspect_case_human/measles_case/date_first_appearance_at_health_facility,159,0,0.0
Rabies,type_of_suspect_case_human/measles_case/date_of_onset_of_illness,159,0,0.0
Rabies,type_of_suspect_case_human/measles_case/date_notified_to_supervisor_or_woreda_health_office,159,0,0.0
Rabies,type_of_suspect_case_human/measles_case/date_of_investigation,159,0,0.0
Rabies,type_of_suspect_case_human/measles_case/date_sample_taken,159,0,0.0
Rabies,type_of_suspect_case_human/measles_case/date_sample_sent_to_the_national_laboratory,159,0,0.0
Rabies,type_of_suspect_case_human/measles_case/measles_immunization_status_of_the_case,159,0,0.0
Rabies,type_of_suspect_case_human/measles_case/if_it_is_epidemic_of_measeles_total_number_of_cases,159,0,0.0
Rabies,type_of_suspect_case_human/neo_natal_tetanus/was_the_suspect_case_alive,159,0,0.0
Rabies,type_of_suspect_case_human/neo_natal_tetanus/date_first_appearance_at_health_facility,159,0,0.0
Rabies,type_of_suspect_case_human/neo_natal_tetanus/date_of_onset_of_illness,159,0,0.0
Rabies,type_of_suspect_case_human/neo_natal_tetanus/date_notified_to_supervisor_or_woreda_health_office,159,0,0.0
Rabies,type_of_suspect_case_human/neo_natal_tetanus/date_of_investigation,159,0,0.0
Rabies,type_of_suspect_case_human/anthrax/was_the_suspect_case_alive,159,0,0.0
Rabies,type_of_suspect_case_human/anthrax/date_first_appearance_at_health_facility,159,0,0.0
Rabies,type_of_suspect_case_human/anthrax/date_of_onset_of_illness,159,0,0.0
Rabies,type_of_suspect_case_human/anthrax/date_notified_to_supervisor_or_woreda_health_office,159,0,0.0
Rabies,type_of_suspect_case_human/anthrax/date_of_investigation,159,0,0.0
Rabies,type_of_suspect_case_human/anthrax/date_sample_taken,159,0,0.0
Rabies,type_of_suspect_case_human/anthrax/date_sample_sent_to_the_national_laboratory,159,0,0.0
Rabies,type_of_suspect_case_human/anthrax/anthrax_immunization_status_of_the_case,159,0,0.0
Rabies,type_of_suspect_case_human/anthrax/how_many_doses,159,0,0.0
Rabies,type_of_suspect_case_human/anthrax/if_it_is_epidemic_of_anthrax_total_number_of_cases,159,0,0.0
Rabies,type_of_suspect_case_human/rabies/was_the_suspect_case_alive,159,0,0.0
Rabies,type_of_suspect_case_human/rabies/date_first_appearance_at_health_facility,159,0,0.0
Rabies,type_of_suspect_case_human/rabies/date_of_onset_of_illness,159,0,0.0
Rabies,type_of_suspect_case_human/rabies/date_notified_to_supervisor_or_woreda_health_office,159,0,0.0
Rabies,type_of_suspect_case_human/rabies/date_of_investigation,159,0,0.0
Rabies,type_of_suspect_case_human/rabies/date_sample_taken,159,0,0.0
Rabies,type_of_suspect_case_human/rabies/date_sample_sent_to_the_national_laboratory,159,0,0.0
Rabies,type_of_suspect_case_human/rabies/rabies_immunization_status_of_the_case,159,0,0.0
Rabies,type_of_suspect_case_human/rabies/how_many_doses,159,0,0.0
Rabies,type_of_suspect_case_human/rabies/if_it_is_epidemic_of_rabies_total_number_of_cases,159,0,0.0
Rabies,type_of_suspect_case_human/brucellosis/was_the_suspect_case_alive,159,0,0.0
Rabies,type_of_suspect_case_human/brucellosis/date_first_appearance_at_health_facility,159,0,0.0
Rabies,type_of_suspect_case_human/brucellosis/date_of_onset_of_illness,159,0,0.0
Rabies,type_of_suspect_case_human/brucellosis/date_notified_to_supervisor_or_woreda_health_office,159,0,0.0
Rabies,type_of_suspect_case_human/brucellosis/date_of_investigation,159,0,0.0
Rabies,type_of_suspect_case_human/brucellosis/date_sample_taken,159,0,0.0
Rabies,type_of_suspect_case_human/brucellosis/date_sample_sent_to_the_national_laboratory,159,0,0.0
Rabies,type_of_suspect_case_human/brucellosis/brucellosis_immunization_status_of_the_case,159,0,0.0
Rabies,type_of_suspect_case_human/brucellosis/how_many_doses,159,0,0.0
Rabies,type_of_suspect_case_animal/indicate_the_illness_of_this_surveillance_report_animal,159,159,100.0
Rabies,type_of_suspect_case_animal/indicate_the_illness_of_this_surveillance_report_animal_signal,159,0,0.0
Rabies,type_of_suspect_case_animal/type_of_sick_or_died_animal,159,159,100.0
Rabies,type_of_suspect_case_animal/type_of_sick_or_died_animal_other,159,1,0.6
Rabies,type_of_suspect_case_animal/dose_the_animal_has_owner,159,159,100.0
Rabies,type_of_suspect_case_animal/full_name_of_owner_of_the_animal,159,112,70.4
Rabies,type_of_suspect_case_animal/treatment_immunization_status_of_the_case,159,159,100.0
Rabies,type_of_suspect_case_animal/if_it_is_epidemic_total_number_of_deaths,159,83,52.2
Rabies,type_of_suspect_case_animal/image,159,80,50.3
Rabies,status_of_the_case/means_of_identification_of_the_case,159,159,100.0
Rabies,status_of_the_case/means_of_identification_of_the_case_other,159,8,5.0
Rabies,status_of_the_case/means_of_notification,159,159,100.0
Rabies,status_of_the_case/means_of_notification_other,159,0,0.0
Rabies,status_of_the_case/the_case_identified_by_community_volunter_health_development_army,159,159,100.0
Rabies,status_of_the_case/name_of_the_reported_CV_or_HDA,159,117,73.6
Rabies,status_of_the_case/sex_of_the_reported_CV_or_HDA,159,117,73.6
Rabies,status_of_the_case/who_identified_the_case,159,42,26.4
Rabies,status_of_the_case/who_identified_the_case_other,159,3,1.9
Rabies,status_of_the_case/date_reported_by_CV_or_HDA,159,117,73.6
Rabies,status_of_the_case/name_of_health_facility_case_registered_at,159,152,95.6
Rabies,address_of_contact_person/reported_by,159,159,100.0
Rabies,address_of_contact_person/position,159,159,100.0
Rabies,address_of_contact_person/date_of_the_report,159,159,100.0
Rabies,address_of_contact_person/telephone_number_of_contact,159,159,100.0
