Variable,Rabies_nonmissing,Rabies_unique,Anthrax_nonmissing,Anthrax_unique,Brucellosis_nonmissing,Brucellosis_unique
area_name/region,159,5,117,5,164,5
area_name/zone_somali,43,5,66,6,29,5
area_name/zone_oromia,29,1,5,1,40,1
area_name/zone_gambella,33,3,18,3,52,3
area_name/zone_benshangul,33,3,8,2,42,3
area_name/zone_snnp,21,2,20,2,1,1
area_name/woreda_somali_Afder,0,0,4,2,1,1
area_name/woreda_somali_Liben,2,1,6,1,3,1
area_name/woreda_somali_Shebele,4,2,7,3,18,5
area_name/woreda_somali_Siti,8,3,30,2,2,1
area_name/woreda_somali_Dollo,2,2,15,3,5,1
area_name/woreda_somali_Dawa,27,3,4,1,0,0
area_name/woreda_oromia_Borena,29,5,5,3,40,5
area_name/woreda_oromia_Kellem,0,0,0,0,0,0
area_name/woreda_gambella_Agnua,6,2,1,1,27,4
area_name/woreda_gambella_Nuer,3,1,9,1,22,1
area_name/woreda_gambella_Majang,24,1,8,2,3,2
area_name/woreda_benshangul_Assosa,23,4,6,2,22,4
area_name/woreda_benshangul_Metekel,9,4,2,2,18,4
area_name/woreda_benshangul_Kamashi,1,1,0,0,2,2
area_name/woreda_snnp_Bench_Maji,15,3,13,3,1,1
area_name/woreda_snnp_South_omo,6,3,7,3,0,0
area_name/kebele,159,114,117,69,164,107
area_name/village,159,124,116,72,164,116
area_name/gps,159,157,117,117,163,162
area_name/_gps_latitude,159,154,117,117,163,162
area_name/_gps_longitude,159,155,117,117,163,162
area_name/_gps_altitude,159,142,117,103,163,145
area_name/_gps_precision,159,105,117,82,163,114
area_name/type_of_suspect_case,159,1,117,1,164,1
type_of_suspect_case_human/indicate_the_illness_of_this_surveillance_report,0,0,0,0,0,0
type_of_suspect_case_human/indicate_the_illness_of_this_surveillance_report_other,0,0,0,0,0,0
type_of_suspect_case_human/name_of_suspect_case,0,0,0,0,0,0
type_of_suspect_case_human/sex_of_the_suspect,0,0,0,0,0,0
type_of_suspect_case_human/age_of_suspect,0,0,0,0,0,0
type_of_suspect_case_human/image,0,0,0,0,0,0
type_of_suspect_case_human/afp_case/date_first_appearance_at_health_facility,0,0,0,0,0,0
type_of_suspect_case_human/afp_case/date_of_onset_of_illness,0,0,0,0,0,0
type_of_suspect_case_human/afp_case/date_notified_to_supervisor_or_woreda_health_office,0,0,0,0,0,0
type_of_suspect_case_human/afp_case/date_of_investigation,0,0,0,0,0,0
type_of_suspect_case_human/afp_case/dates_of_first_stool_specimen_collection,0,0,0,0,0,0
type_of_suspect_case_human/afp_case/dates_of_second_stool_specimen_collection,0,0,0,0,0,0
type_of_suspect_case_human/afp_case/date_sample_sent_to_national_laboratory,0,0,0,0,0,0
type_of_suspect_case_human/afp_case/polio_immunization_status_of_the_case,0,0,0,0,0,0
type_of_suspect_case_human/afp_case/how_many_doses,0,0,0,0,0,0
type_of_suspect_case_human/measles_case/date_first_appearance_at_health_facility,0,0,0,0,0,0
type_of_suspect_case_human/measles_case/date_of_onset_of_illness,0,0,0,0,0,0
type_of_suspect_case_human/measles_case/date_notified_to_supervisor_or_woreda_health_office,0,0,0,0,0,0
type_of_suspect_case_human/measles_case/date_of_investigation,0,0,0,0,0,0
type_of_suspect_case_human/measles_case/date_sample_taken,0,0,0,0,0,0
type_of_suspect_case_human/measles_case/date_sample_sent_to_the_national_laboratory,0,0,0,0,0,0
