Disease,Region,Latitude,Longitude,Altitude,Animal_Type,Animal_Ownership,Immunization_Status,Identification_Method,Community_HDA_Identified,Animal_Image
Rabies,Benshangul Gumuz,9.7597603,34.7283177,1497.0,Cow,Yes,Not vaccinated,Health Facility,No,http://api.ona.io/api/v1/files/35388112?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1692964862510.jpg
Rabies,Oromia,4.2575759,37.7005874,924.0,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Oromia,4.2576041,37.7005419,931.0,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Oromia,4.2575593,37.7005998,934.0,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Oromia,4.4869829,37.7326389,1104.0,Sheep,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Oromia,4.4881663,37.7331627,1101.0,Sheep,Yes,Not vaccinated,Health Facility,Yes,
Rabies,Oromia,4.2572427,37.6985552,941.0,Goat,Yes,Not vaccinated,Other specify,No,
Rabies,Oromia,4.2572115,37.6985701,943.0,Goat,Yes,Not vaccinated,Health Facility,No,
Rabies,Benshangul Gumuz,9.8389086,34.7920353,1405.0,Goat,Yes,Not vaccinated,Health Facility,No,http://api.ona.io/api/v1/files/34926996?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1690546129310.jpg
Rabies,Somali,10.757146,42.5745144,700.3,Dog,No,Not vaccinated,House to house visit,Yes,
Rabies,Somali,4.8134707,39.1996636,901.1,Dog,No,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/34593317?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1689519195832.jpg
Rabies,Somali,4.8103204,39.2000101,901.9,Sheep,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/34593315?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1689519048134.jpg
