Feature,Importance_Mean,Importance_SD,Model
Animal_Type,0.2400744805562293,0.031740168398876806,Random Forest
Latitude,0.05913700582100412,0.020260228176335066,Random Forest
Longitude,0.03540681340447893,0.02332394783099617,Random Forest
Altitude,0.02035355525911553,0.00729543326912187,Random Forest
Notification_Method,0.009067527690193233,0.025724972884941386,Random Forest
Identification_Method,0.008042535774921178,0.02001694611293669,Random Forest
Region,0.005457949308755738,0.017833348062552812,Random Forest
Immunization_Status,0.005363964346349714,0.026167233903891886,Random Forest
Community_HDA_Identified,0.00270989974937339,0.02215546884620477,Random Forest
Animal_Ownership,0.000163463093216909,0.010551151951564662,Random Forest
Animal_Type,0.18777791252324363,0.06194455939696368,LightGBM
Latitude,0.07926444134529875,0.041390502520445085,LightGBM
Longitude,0.035682957393483684,0.023188734817215593,LightGBM
Community_HDA_Identified,0.013462335273668047,0.00995593811740264,LightGBM
Altitude,0.012223856010995248,0.023594516025949128,LightGBM
Immunization_Status,0.0045337638450965835,0.014586875743706543,LightGBM
Animal_Ownership,0.003955200501253153,0.021030630235343434,LightGBM
Identification_Method,0.003854394049640231,0.013462112080279247,LightGBM
Notification_Method,0.003062343358395969,0.009816552609392836,LightGBM
Region,-0.0040805137844611705,0.02254533021135483,LightGBM
