Feature,Importance_Mean,Importance_SD,Model
Animal_Type,0.18777791252324363,0.06194455939696368,LightGBM
Latitude,0.07926444134529875,0.041390502520445085,LightGBM
Longitude,0.035682957393483684,0.023188734817215593,LightGBM
Community_HDA_Identified,0.013462335273668047,0.00995593811740264,LightGBM
Altitude,0.012223856010995248,0.023594516025949128,LightGBM
Immunization_Status,0.0045337638450965835,0.014586875743706543,LightGBM
Animal_Ownership,0.003955200501253153,0.021030630235343434,LightGBM
Identification_Method,0.003854394049640231,0.013462112080279247,LightGBM
Notification_Method,0.003062343358395969,0.009816552609392836,LightGBM
Region,-0.0040805137844611705,0.02254533021135483,LightGBM
