Feature,Importance_Mean,Importance_SD,Model
Animal_Type,0.2400744805562293,0.031740168398876806,Random Forest
Latitude,0.05913700582100412,0.020260228176335066,Random Forest
Longitude,0.03540681340447893,0.02332394783099617,Random Forest
Altitude,0.02035355525911553,0.00729543326912187,Random Forest
Notification_Method,0.009067527690193233,0.025724972884941386,Random Forest
Identification_Method,0.008042535774921178,0.02001694611293669,Random Forest
Region,0.005457949308755738,0.017833348062552812,Random Forest
Immunization_Status,0.005363964346349714,0.026167233903891886,Random Forest
Community_HDA_Identified,0.00270989974937339,0.02215546884620477,Random Forest
Animal_Ownership,0.000163463093216909,0.010551151951564662,Random Forest
